Stab,ST2,ST4,Brand,Sample Code,Data,Gruppo parametri,ABD,Alcol % peso,Alcol % vol,Amaro,Apparent Attenuation (%),Attenuazione Reale (RDF) %,Attenuazione vendita apparente %p,Azoto alfa-amminico t.q.,Cellule all'insemenzamento,Chill-back Start Time,Colore EBC,Data riempimento,Diacetile + precursori (ferm.),Differenza apparente-limite,Durata di conservazione lievito in cella,Durata raffreddamento,Estratto apparente,Estratto apparente limite %Pp,Estratto reale ,Fermentation rate (13.5°-5.5°),Fermentazione STEP 1,Fermentazione STEP 2,Final attenuation (EVG),Grado primitivo %Pp,Hopped Wort,Hopped Wort (37°C),Hopped Wort Actidione,Iso-alfa acidi,Maturazione STEP 3,NBB-A,NBB-B,Occupancy in fermentation,Occupancy in fermentation Racking,Pentandione + precursori,pH,pH minimo (End of Ferm),Plato chiusura freddo,Quotazione lievito - NBB-B,Raffreddamento STEP 3,Raffreddamento STEP 4,Rapporto ER/ABW,Temperatura Fermentazione,Temperatura STEP 1,Temperatura STEP 2,Temperatura STEP 3,Temp. lievito all'insemenzamento,Tempo di riduzione diacetile
PD,FE,FENA,Nastro Azzurro,20023980,06/07/2020,Lista di fermentazione N. Azzurro,,5.20,6.65,,,65.72,81.35,,,,,,,0.53,,,2.81,2.28,5.17,,,,,15.08,,,,,,,,,,,4.15,4.08,,,,,0.99,,,,,,
PD,FE,FENA,Nastro Azzurro,20023980,06/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20023981,06/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20023981,06/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,16.30,262.00,,,40.00,,11.00,,,,,1.90,110.00,48.00,,,,,,,156.00,,,,286.00,76.00,,,7.40,,,60.00,,,10.00,,13.00,2.20,11.00
PD,FE,FENA,Nastro Azzurro,20023981,06/07/2020,Lista di fermentazione N. Azzurro,,5.10,6.52,,,65.39,81.00,,,,,,,0.53,,,2.83,2.30,5.15,,,,,14.88,,,,,,,,,,,4.25,4.16,,,,,1.01,,,,,,
PD,FE,FENA,Nastro Azzurro,20023981,06/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20023982,06/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20023982,06/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,18.50,229.00,,,35.00,,13.45,,,,,2.02,92.00,36.00,,,,,,,101.00,,,,286.00,47.00,,,7.40,,,97.00,,,10.00,,13.00,1.70,10.46
PD,FE,FENA,Nastro Azzurro,20023982,06/07/2020,Lista di fermentazione N. Azzurro,,5.15,6.58,,,66.46,82.29,,,,,,,0.41,,,2.62,2.21,4.96,,,,,14.79,,,,,,,,,,,4.25,4.15,,,,,0.96,,,,,,
PD,FE,FENA,Nastro Azzurro,20023982,06/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026046,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026046,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.60,253.00,,,36.00,,16.15,,,,,2.00,97.00,36.00,,,,,,,120.00,,,,273.00,65.00,,,7.70,,,20.00,,,10.00,,13.00,2.50,11.00
PD,FE,FENA,Nastro Azzurro,20026046,17/07/2020,Lista di fermentazione N. Azzurro,,5.14,6.56,,,66.52,82.28,,,,,,,0.23,,,2.61,2.38,4.94,,,,,14.75,,,,,,,,,,,4.30,4.21,,,,,0.96,,,,,,
PD,FE,FENA,Nastro Azzurro,20026046,17/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026047,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026047,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.40,261.00,,,42.00,,40.45,,,,,2.00,91.00,34.00,,,,,,,146.00,,,,282.00,80.00,,,7.80,,,11.00,,,10.00,,13.00,2.48,11.00
PD,FE,FENA,Nastro Azzurro,20026047,17/07/2020,Lista di fermentazione N. Azzurro,,5.05,6.45,,,66.23,81.92,,,,,,,0.30,,,2.64,2.34,4.92,,,,,14.57,,,,,,,,,,,4.25,4.18,,,,,0.97,,,,,,
PD,FE,FENA,Nastro Azzurro,20026047,17/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026048,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026048,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.00,264.00,,,43.00,,47.00,,,,,2.00,96.00,36.00,,,,,,,132.00,,,,286.00,69.00,,,7.40,,,63.00,,,10.00,,13.00,2.40,11.00
PD,FE,FENA,Nastro Azzurro,20026048,17/07/2020,Lista di fermentazione N. Azzurro,,5.14,6.56,,,66.47,82.22,,,,,,,0.11,,,2.62,2.51,4.95,,,,,14.76,,,,,,,,,,,4.30,4.24,,,,,0.96,,,,,,
PD,FE,FENA,Nastro Azzurro,20026048,17/07/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026049,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026049,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,16.70,262.00,,,47.00,,44.15,,,,,2.04,88.00,36.00,,,,,,,144.00,,,,286.00,66.00,,,7.40,,,32.00,,,10.00,,13.00,2.50,11.00
PD,FE,FENA,Nastro Azzurro,20026049,17/07/2020,Lista di fermentazione N. Azzurro,,5.14,6.56,,,66.56,82.33,,,,,,,0.29,,,2.60,2.31,4.93,,,,,14.74,,,,,,,,,,,4.20,4.11,,,,,0.96,,,,,,
PD,FE,FENA,Nastro Azzurro,20026049,17/07/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026050,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026050,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,0.95,258.00,,,42.00,,5.22,,,,,2.06,94.00,23.00,,,,,,,155.00,,,,284.00,52.00,,,7.40,,,48.00,,,10.00,,13.00,2.40,10.80
PD,FE,FENA,Nastro Azzurro,20026050,17/07/2020,Lista di fermentazione N. Azzurro,,5.15,6.58,,,66.56,82.21,,,,,,,0.27,,,2.63,2.36,4.94,,,,,14.77,,,,,,,,,,,4.30,4.22,,,,,0.96,,,,,,
PD,FE,FENA,Nastro Azzurro,20026050,17/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026051,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026051,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,16.80,260.00,,,43.00,,10.10,,,,,2.11,122.00,36.00,,,,,,,132.00,,,,284.00,57.00,,,7.40,,,53.00,,,10.00,,13.00,2.40,11.00
PD,FE,FENA,Nastro Azzurro,20026051,17/07/2020,Lista di fermentazione N. Azzurro,,5.18,6.62,,,66.82,82.35,,,,,,,0.33,,,2.61,2.28,4.91,,,,,14.80,,,,,,,,,,,4.25,4.18,,,,,0.95,,,,,,
PD,FE,FENA,Nastro Azzurro,20026051,17/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026052,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026052,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.60,263.00,,,37.00,,40.35,,,,,1.92,129.00,36.00,,,,,,,168.00,,,,285.00,44.00,,,7.60,,,72.00,,,10.00,,13.00,2.40,11.00
PD,FE,FENA,Nastro Azzurro,20026052,17/07/2020,Lista di fermentazione N. Azzurro,,5.01,6.40,,,65.33,82.36,,,,,,,0.28,,,2.58,2.30,5.08,,,,,14.65,,,,,,,,,,,4.30,4.25,,,,,1.01,,,,,,
PD,FE,FENA,Nastro Azzurro,20026052,17/07/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026053,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026053,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,16.90,263.00,,,48.00,,43.30,,,,,2.18,93.00,36.00,,,,,,,144.00,,,,286.00,79.00,,,7.40,,,29.00,,,10.00,,13.00,2.20,10.96
PD,FE,FENA,Nastro Azzurro,20026053,17/07/2020,Lista di fermentazione N. Azzurro,,5.19,6.64,,,66.22,80.49,,,,,,,0.75,,,2.92,2.17,5.05,,,,,14.95,,,,,,,,,,,4.15,4.03,,,,,0.97,,,,,,
PD,FE,FENA,Nastro Azzurro,20026053,17/07/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026054,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026054,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.90,260.00,,,41.00,,11.30,,,,,1.90,111.00,34.00,,,,,,,180.00,,,,284.00,55.00,,,7.40,,,72.00,,,10.00,,13.00,2.10,11.00
PD,FE,FENA,Nastro Azzurro,20026054,17/07/2020,Lista di fermentazione N. Azzurro,,5.16,6.59,,,66.23,82.48,,,,,,,0.29,,,2.60,2.31,5.02,,,,,14.87,,,,,,,,,,,4.20,4.16,,,,,0.97,,,,,,
PD,FE,FENA,Nastro Azzurro,20026054,17/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026055,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026055,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.80,264.00,,,40.00,,15.30,,,,,2.04,92.00,34.00,,,,,,,158.00,,,,288.00,52.00,,,7.40,,,64.00,,,10.00,,13.00,2.30,10.80
PD,FE,FENA,Nastro Azzurro,20026055,17/07/2020,Lista di fermentazione N. Azzurro,,5.19,6.64,,,66.22,80.39,,,,,,,0.54,,,2.93,2.39,5.05,,,,,14.95,,,,,,,,,,,4.10,4.03,,,,,0.97,,,,,,
PD,FE,FENA,Nastro Azzurro,20026055,17/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026056,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026056,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.00,262.00,,,41.00,,14.30,,,,,2.13,99.00,24.00,,,,,,,180.00,,,,286.00,56.00,,,7.80,,,76.00,,,10.00,,13.50,2.40,11.00
PD,FE,FENA,Nastro Azzurro,20026056,17/07/2020,Lista di fermentazione N. Azzurro,,5.20,6.64,,,66.67,82.53,,,,,,,0.29,,,2.60,2.31,4.96,,,,,14.88,,,,,,,,,,,4.25,4.18,,,,,0.95,,,,,,
PD,FE,FENA,Nastro Azzurro,20026056,17/07/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026057,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026057,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,16.80,261.00,,,37.00,,25.50,,,,,2.43,93.00,22.00,,,,,,,146.00,,,,288.00,47.00,,,7.40,,,54.00,,,10.00,,13.00,2.40,11.00
PD,FE,FENA,Nastro Azzurro,20026057,17/07/2020,Lista di fermentazione N. Azzurro,,5.25,6.71,,,66.55,82.44,,,,,,,0.31,,,2.64,2.33,5.03,,,,,15.04,,,,,,,,,,,4.20,4.10,,,,,0.96,,,,,,
PD,FE,FENA,Nastro Azzurro,20026057,17/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026058,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026058,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,16.00,242.00,,,39.00,,38.40,,,,,2.16,86.00,36.00,,,,,,,120.00,,,,278.00,36.00,,,7.40,,,403.00,,,10.00,,13.00,2.50,9.67
PD,FE,FENA,Nastro Azzurro,20026058,17/07/2020,Lista di fermentazione N. Azzurro,,5.18,6.61,,,67.10,83.07,,,,,,,0.37,,,2.50,2.13,4.85,,,,,14.74,,,,,,,,,,,4.40,4.37,,,,,0.94,,,,,,
PD,FE,FENA,Nastro Azzurro,20026058,17/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026059,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026059,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,16.00,264.00,,,44.00,,41.20,,,,,2.23,78.00,50.00,,,,,,,156.00,,,,288.00,53.00,,,7.40,,,90.00,,,10.00,,13.00,2.50,10.80
PD,FE,FENA,Nastro Azzurro,20026059,17/07/2020,Lista di fermentazione N. Azzurro,,5.11,6.53,,,66.48,82.29,,,,,,,0.39,,,2.60,2.21,4.92,,,,,14.68,,,,,,,,,,,4.20,4.12,,,,,0.96,,,,,,
PD,FE,FENA,Nastro Azzurro,20026059,17/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026060,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026060,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,16.80,260.00,,,43.00,,27.00,,,,,1.90,107.00,24.00,,,,,,,156.00,,,,284.00,57.00,,,7.80,,,89.00,,,10.00,,13.00,2.30,11.00
PD,FE,FENA,Nastro Azzurro,20026060,17/07/2020,Lista di fermentazione N. Azzurro,,5.20,6.64,,,66.12,81.85,,,,,,,0.55,,,2.72,2.17,5.08,,,,,14.99,,,,,,,,,,,4.25,4.16,,,,,0.98,,,,,,
PD,FE,FENA,Nastro Azzurro,20026060,17/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026061,17/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026061,17/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,16.70,262.00,,,43.00,,29.50,,,,,2.21,100.00,38.00,,,,,,,132.00,,,,286.00,55.00,,,7.40,,,82.00,,,10.00,,13.00,2.40,11.00
PD,FE,FENA,Nastro Azzurro,20026061,17/07/2020,Lista di fermentazione N. Azzurro,,5.25,6.70,,,66.96,82.83,,,,,,,0.40,,,2.57,2.17,4.94,,,,,14.95,,,,,,,,,,,4.20,4.11,,,,,0.94,,,,,,
PD,FE,FENA,Nastro Azzurro,20026061,17/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026940,22/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026940,22/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.80,264.00,,,40.00,,47.00,,,,,2.09,104.00,24.00,,,,,,,146.00,,,,286.00,59.00,,,7.40,,,73.00,,,10.00,,13.00,2.45,11.00
PD,FE,FENA,Nastro Azzurro,20026940,22/07/2020,Lista di fermentazione N. Azzurro,,5.20,6.64,,,67.18,83.03,,,,,,,0.32,,,2.51,2.19,4.85,,,,,14.78,,,,,,,,,,,4.30,4.21,,,,,0.93,,,,,,
PD,FE,FENA,Nastro Azzurro,20026940,22/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026941,22/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026941,22/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.40,260.00,,,39.00,,10.40,,,,,2.06,92.00,36.00,,,,,,,132.00,,,,286.00,60.00,,,7.60,,,100.00,,,10.00,,13.00,2.43,10.90
PD,FE,FENA,Nastro Azzurro,20026941,22/07/2020,Lista di fermentazione N. Azzurro,,5.04,6.43,,,66.90,82.86,,,,,,,0.32,,,2.47,2.15,4.77,,,,,14.41,,,,,,,,,,,4.20,4.12,,,,,0.95,,,,,,
PD,FE,FENA,Nastro Azzurro,20026941,22/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026942,22/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026942,22/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,16.80,248.00,,,34.00,,16.45,,,,,2.16,70.00,24.00,,,,,,,120.00,,,,272.00,66.00,,,7.80,,,158.00,,,10.00,,13.00,2.40,9.00
PD,FE,FENA,Nastro Azzurro,20026942,22/07/2020,Lista di fermentazione N. Azzurro,,4.98,6.36,,,67.08,82.95,,,,,,,0.25,,,2.42,2.17,4.68,,,,,14.22,,,,,,,,,,,4.10,4.01,,,,,0.94,,,,,,
PD,FE,FENA,Nastro Azzurro,20026942,22/07/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026943,22/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026943,22/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.00,262.00,,,24.00,,23.15,,,,,2.26,83.00,36.00,,,,,,,168.00,,,,286.00,25.00,,,7.80,,,93.00,,,10.00,,13.00,2.18,11.00
PD,FE,FENA,Nastro Azzurro,20026943,22/07/2020,Lista di fermentazione N. Azzurro,,5.18,6.61,,,66.73,82.56,,,,,,,0.27,,,2.58,2.31,4.93,,,,,14.82,,,,,,,,,,,4.20,4.12,,,,,0.95,,,,,,
PD,FE,FENA,Nastro Azzurro,20026943,22/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026944,22/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026944,22/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.00,260.00,,,27.00,,12.29,,,,,2.02,90.00,36.00,,,,,,,176.00,,,,284.00,34.00,,,7.80,,,58.00,,,10.00,,13.00,2.00,11.00
PD,FE,FENA,Nastro Azzurro,20026944,22/07/2020,Lista di fermentazione N. Azzurro,,5.08,6.49,,,66.36,82.05,,,,,,,0.31,,,2.62,2.31,4.92,,,,,14.63,,,,,,,,,,,4.26,4.16,,,,,0.97,,,,,,
PD,FE,FENA,Nastro Azzurro,20026944,22/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026945,22/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026945,22/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,16.00,262.00,,,17.00,,,,,,,1.90,36.00,48.00,,,,,,,228.00,,,,286.00,28.00,,,7.60,,,72.00,,,10.50,,12.00,,11.00
PD,FE,FENA,Nastro Azzurro,20026945,22/07/2020,Lista di fermentazione N. Azzurro,,5.06,6.47,,,65.72,81.23,,,,,,,0.35,,,2.76,2.41,5.04,,,,,14.70,,,,,,,,,,,4.25,4.16,,,,,1.00,,,,,,
PD,FE,FENA,Nastro Azzurro,20026945,22/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026946,22/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026946,22/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.20,262.00,,,30.00,,19.12,,,,,2.02,103.00,20.00,,,,,,,172.00,,,,286.00,55.00,,,7.80,,,46.00,,,10.00,,13.00,2.15,11.00
PD,FE,FENA,Nastro Azzurro,20026946,22/07/2020,Lista di fermentazione N. Azzurro,,5.08,6.49,,,65.85,81.51,,,,,,,0.32,,,2.72,2.40,5.03,,,,,14.73,,,,,,,,,,,4.20,4.11,,,,,0.99,,,,,,
PD,FE,FENA,Nastro Azzurro,20026946,22/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026947,22/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026947,22/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.20,258.00,,,30.00,,24.30,,,,,2.11,98.00,36.00,,,,,,,154.00,,,,284.00,46.00,,,7.40,,,96.00,,,10.00,,13.00,2.43,11.00
PD,FE,FENA,Nastro Azzurro,20026947,22/07/2020,Lista di fermentazione N. Azzurro,,5.10,6.51,,,66.35,82.12,,,,,,,0.46,,,2.62,2.16,4.94,,,,,14.68,,,,,,,,,,,4.25,4.18,,,,,0.97,,,,,,
PD,FE,FENA,Nastro Azzurro,20026947,22/07/2020,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026948,22/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20026948,22/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,1.00,256.00,,,33.00,,27.38,,,,,2.06,92.00,46.00,,,,,,,158.00,,,,284.00,53.00,,,7.40,,,72.00,,,10.00,,13.00,1.95,11.00
PD,FE,FENA,Nastro Azzurro,20026948,22/07/2020,Lista di fermentazione N. Azzurro,,5.17,6.60,,,66.96,82.81,,,,,,,0.38,,,2.53,2.15,4.87,,,,,14.74,,,,,,,,,,,4.20,4.16,,,,,0.94,,,,,,
PD,FE,FENA,Nastro Azzurro,20026948,22/07/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20028634,30/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20028634,30/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.20,264.00,,,32.00,,12.29,,,,,2.00,111.00,24.00,,,,,,,140.00,,,,288.00,45.00,,,7.40,,,98.00,,,10.00,,13.00,1.99,11.00
PD,FE,FENA,Nastro Azzurro,20028634,30/07/2020,Lista di fermentazione N. Azzurro,,5.20,6.64,,,66.71,82.42,,,,,,,0.39,,,2.61,2.22,4.95,,,,,14.87,,,,,,,,,,,4.25,4.17,,,,,0.95,,,,,,
PD,FE,FENA,Nastro Azzurro,20028634,30/07/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20028635,30/07/2020,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FENA,Nastro Azzurro,20028635,30/07/2020,Fermentazione Nastro Azzurro,,,,,,,,,17.20,263.00,,,39.00,,15.25,,,,,2.11,82.00,46.00,,,,,,,145.00,,,,284.00,63.00,,,7.80,,,101.00,,,10.00,,13.00,2.00,11.00
