,ABD,Alcol_peso,Alcol_vol,Attenuazione Reale (RDF) %,Attenuazione vendita apparente %p,Cellule all'insemenzamento,Diacetile + precursori (ferm.),Differenza apparente-limite,Durata di conservazione lievito in cella,Estratto apparente,Estratto apparente limite %Pp,Estratto reale,Fermentation rate (13.5°-5.5°),Grado primitivo %Pp,Hopped Wort,Hopped Wort (37°C),NBB-A,NBB-B,Pentandione + precursori,pH,Rapporto ER/ABW,Temperatura Fermentazione,Temp. lievito all'insemenzamento,Tempo di riduzione diacetile
1263,0.0,5.05,6.45,67.42,81.35,16.8,42.0,0.31,28.0,2.67,2.36,4.67,2.84,14.33,0.0,0.0,0.0,0.0,43.0,3.95,0.92,13.5,2.3,9.88
1264,0.0,4.8,6.13,65.82,81.52,16.8,35.0,0.33,38.3,2.58,2.25,4.78,2.43,13.98,0.0,0.0,0.0,0.0,49.0,3.96,1.0,13.5,2.3,10.0
1265,0.0,4.73,6.07,59.84,74.14,19.2,38.0,1.44,20.47475871313673,3.9,2.46,6.05,1.76,15.06,0.0,0.0,0.0,0.0,66.0,4.1,1.28,12.807534027221777,2.8270625,11.79
1266,0.0,5.1,6.52,65.34,80.89,17.4,38.0,0.34,23.0,2.85,2.51,5.16,2.26,14.89,0.0,0.0,0.0,0.0,69.0,4.3,1.01,12.807534027221777,2.3,10.96
1267,0.0,5.15,6.58,65.42,80.99,17.6,38.0,0.3,19.3,2.85,2.55,5.19,2.11,15.01,0.0,0.0,0.0,0.0,59.0,4.2,1.01,12.807534027221777,2.3,9.79
1268,0.0,5.17,6.61,64.88,80.3,0.85,36.0,0.44,26.01,2.99,2.55,5.33,2.18,15.18,0.0,0.0,0.0,0.0,66.0,4.3,1.03,12.807534027221777,2.4,10.29
1269,0.0,5.06,6.46,65.91,82.38,16.7,40.0,0.17,48.0,2.58,2.41,5.0,2.5,14.67,0.0,0.0,0.0,0.0,75.0,4.2,0.99,12.807534027221777,2.5,11.0
1270,0.0,5.0,6.39,64.83,80.28,17.6,40.0,0.51,27.1,2.9,2.39,5.18,2.29,14.73,0.0,0.0,0.0,0.0,54.0,4.2,1.04,12.807534027221777,2.3,11.0
1271,0.0,5.15,6.58,65.73,81.18,17.6,40.0,0.74,29.3,2.81,2.07,5.12,2.37,14.94,0.0,0.0,0.0,0.0,56.0,4.35,0.99,12.807534027221777,2.3,11.0
1272,0.0,5.13,6.56,64.89,80.37,18.3,40.0,0.54,37.4,2.96,2.42,5.29,2.43,15.07,0.0,0.0,0.0,0.0,83.0,4.4,1.03,12.807534027221777,2.3,11.0
1273,0.0,5.0,6.39,65.88,81.56,13.4,57.0,0.48,45.5,2.68,2.2,4.95,2.74,14.51,0.0,0.0,0.0,0.0,88.0,4.43,0.99,12.807534027221777,2.3,11.219009009009008
1274,0.0,5.1,6.51,66.82,82.7,16.7,32.0,0.13,27.0,2.52,2.39,4.84,3.0,14.59,0.0,0.0,0.0,0.0,100.0,4.15,0.95,13.5,2.3,9.9
1275,0.0,5.1,6.52,66.03,81.67,18.2,48.0,0.31,32.4,2.7,2.39,5.01,2.87,14.75,0.0,0.0,0.0,0.0,79.0,4.13,0.98,13.5,2.3,9.96
1276,0.0,5.27,6.73,66.68,82.56,17.6,40.0,0.34,46.0,2.63,2.29,5.02,2.43,15.06,0.0,0.0,0.0,0.0,71.0,4.3,0.95,12.807534027221777,2.2,11.0
1277,0.0,5.12,6.55,64.06,79.31,17.9,39.0,0.85,38.2,3.15,2.3,5.47,2.31,15.22,0.0,0.0,0.0,0.0,81.0,4.3,1.07,12.807534027221777,2.3,11.0
1278,0.0,5.2,6.65,65.85,81.55,17.6,37.0,0.48,38.2,2.78,2.3,5.14,2.5,15.05,0.0,0.0,0.0,0.0,64.0,4.22,0.99,12.807534027221777,2.3,10.42
1279,0.0,5.1,6.52,64.45,79.8,18.0,35.0,0.77,42.1,3.05,2.28,5.36,2.29,15.08,0.0,0.0,0.0,0.0,99.0,4.25,1.05,12.807534027221777,2.3,11.0
1280,0.0,5.28,6.75,65.38,80.82,17.6,31.0,0.8,43.0,2.95,2.15,5.32,1.9,15.37,0.0,0.0,0.0,0.0,99.0,4.3,1.01,12.807534027221777,2.3,10.9
1281,0.0,5.37,6.86,67.3,83.24,0.95,34.0,0.21,47.0,2.55,2.34,4.97,2.5,15.2,0.0,0.0,0.0,0.0,105.0,4.3,0.93,12.807534027221777,2.3,9.92
1282,0.0,5.33,6.81,67.19,83.15,18.6,38.0,0.45,27.5,2.55,2.1,4.96,2.5,15.12,0.0,0.0,0.0,0.0,90.0,4.25,0.93,12.807534027221777,2.3,11.0
1283,0.0,5.2,6.63,67.74,83.83,17.8,39.0,0.15,2.5,2.37,2.22,4.73,2.21,14.66,0.0,0.0,0.0,0.0,70.0,4.25,0.91,12.807534027221777,2.3,11.0
